480;malicious;negative;en;;;
481;man handled;negative;en;;;
482;manipulated;negative;en;;;
483;masochistic;negative;en;;;
484;mean;negative;en;;;
485;menacing;negative;en;;;
486;messed up;negative;en;;;
487;messed with;negative;en;;;
488;messy;negative;en;;;
489;miffed;negative;en;;;
490;miserable;negative;en;;;
491;misled;negative;en;;;
492;misshapen;negative;en;;;
493;missing;negative;en;;;
494;mistaken;negative;en;;;
495;mistrusted;negative;en;;;
496;misunderstood;negative;en;;;
497;mixed-up;negative;en;;;
498;moan;negative;en;;;
499;mocked;negative;en;;;
500;moldy;negative;en;;;
501;molested;negative;en;;;
502;monstrous;negative;en;;;
503;moody;negative;en;;;
504;nagged;negative;en;;;
505;naive;negative;en;;;
506;nasty;negative;en;;;
507;naughty;negative;en;;;
508;needy;negative;en;;;
509;negate;negative;en;;;
510;negative;negative;en;;;
511;nervous;negative;en;;;
512;neurotic;negative;en;;;
513;never;negative;en;;;
514;no;negative;en;;;
515;nobody;negative;en;;;
516;nonconforming;negative;en;;;
517;nondescript;negative;en;;;
518;nonsense;negative;en;;;
519;not;negative;en;;;
520;noxious;negative;en;;;
521;numb;negative;en;;;
522;nuts;negative;en;;;
523;nutty;negative;en;;;
524;objectified;negative;en;;;
525;objectionable;negative;en;;;
526;obligated;negative;en;;;
527;obsessive;negative;en;;;
528;obstructed;negative;en;;;
529;odd;negative;en;;;
530;odious;negative;en;;;
531;offended;negative;en;;;
532;offensive;negative;en;;;
533;old;negative;en;;;
534;on display;negative;en;;;
535;opposed;negative;en;;;
536;oppressed;negative;en;;;
537;oppressive;negative;en;;;
538;out of place;negative;en;;;
539;out of touch;negative;en;;;
540;over-controlled;negative;en;;;
541;over-protected;negative;en;;;
542;overwhelmed;negative;en;;;
543;pain;negative;en;;;
544;panic;negative;en;;;
545;paranoid;negative;en;;;
546;passive;negative;en;;;
547;pathetic;negative;en;;;
548;perturb;negative;en;;;
549;pessimistic;negative;en;;;
550;petrified;negative;en;;;
551;petty;negative;en;;;
552;phony;negative;en;;;
553;picked on;negative;en;;;
554;pissed off;negative;en;;;
555;pissed;negative;en;;;
556;plain;negative;en;;;
557;plain;negative;en;;;
558;played with;negative;en;;;
559;poisonous;negative;en;;;
560;pooped;negative;en;;;
561;poor;negative;en;;;
562;poor;negative;en;;;
563;powerless;negative;en;;;
564;preached to;negative;en;;;
565;predjudiced;negative;en;;;
566;pre-judged;negative;en;;;
567;prejudice;negative;en;;;
568;preoccupied;negative;en;;;
569;pressured;negative;en;;;
570;prosecuted;negative;en;;;
571;provoked;negative;en;;;
572;psychopathic;negative;en;;;
573;psychotic;negative;en;;;
574;pulled apart;negative;en;;;
575;pulled back;negative;en;;;
576;punished;negative;en;;;
577;pushed away;negative;en;;;
578;pushed;negative;en;;;
579;put down;negative;en;;;
580;puzzled;negative;en;;;
581;quarrelsome;negative;en;;;
582;queer;negative;en;;;
583;questionable;negative;en;;;
584;questioned;negative;en;;;
585;quiet;negative;en;;;
586;quirky;negative;en;;;
587;quit;negative;en;;;
588;rage;negative;en;;;
589;raped;negative;en;;;
590;rattled;negative;en;;;
591;regret;negative;en;;;
592;reject;negative;en;;;
593;rejected;negative;en;;;
594;renege;negative;en;;;
595;repellant;negative;en;;;
596;reptilian;negative;en;;;
597;repugnant;negative;en;;;
598;repulsive;negative;en;;;
599;resented;negative;en;;;
600;resentful;negative;en;;;
601;responsible;negative;en;;;
602;retarded;negative;en;;;
603;revenge;negative;en;;;
604;revengeful;negative;en;;;
605;revolting;negative;en;;;
606;ridiculed;negative;en;;;
607;ridiculous;negative;en;;;
608;robbed;negative;en;;;
609;rocky;negative;en;;;
610;rotten;negative;en;;;
611;rotten;negative;en;;;
612;rude;negative;en;;;
613;ruthless;negative;en;;;
614;sad;negative;en;;;
615;sadistic;negative;en;;;
616;sarcastic;negative;en;;;
617;savage;negative;en;;;
618;scare;negative;en;;;
619;scared;negative;en;;;
620;scarred;negative;en;;;
621;scary;negative;en;;;
622;scream;negative;en;;;
623;screwed over;negative;en;;;
624;screwed up;negative;en;;;
625;screwed;negative;en;;;
626;self-centered;negative;en;;;
627;self-conscious;negative;en;;;
628;self-destructive;negative;en;;;
629;self-hatred;negative;en;;;
630;selfish;negative;en;;;
631;sensitive;negative;en;;;
632;severe;negative;en;;;
633;shocking;negative;en;;;
634;shoddy;negative;en;;;
635;shouted at;negative;en;;;
636;shy;negative;en;;;
637;sick;negative;en;;;
638;sickening;negative;en;;;
639;singled-out;negative;en;;;
640;sinister;negative;en;;;
641;slimy;negative;en;;;
642;slow;negative;en;;;
643;small;negative;en;;;
644;smelly;negative;en;;;
645;smothered;negative;en;;;
646;snapped at;negative;en;;;
647;sobbing;negative;en;;;
648;sorry;negative;en;;;
649;spiteful;negative;en;;;
650;spiteful;negative;en;;;
651;stereotyped;negative;en;;;
652;sticky;negative;en;;;
653;stinky;negative;en;;;
654;stormy;negative;en;;;
655;strange;negative;en;;;
656;stressed;negative;en;;;
657;stressful;negative;en;;;
658;stretched;negative;en;;;
659;stuck;negative;en;;;
660;stuck;negative;en;;;
661;stupid;negative;en;;;
662;stupid;negative;en;;;
663;submissive;negative;en;;;
664;substandard;negative;en;;;
665;suffering;negative;en;;;
666;suffocated;negative;en;;;
667;suicidal;negative;en;;;
668;superficial;negative;en;;;
669;suppressed;negative;en;;;
670;suspect;negative;en;;;
671;suspicious;negative;en;;;
672;tense;negative;en;;;
673;terrible;negative;en;;;
674;terrifying;negative;en;;;
675;threatening;negative;en;;;
676;ugly;negative;en;;;
677;undermine;negative;en;;;
678;unfair;negative;en;;;
679;unfavorable;negative;en;;;
680;unhappy;negative;en;;;
681;unhealthy;negative;en;;;
682;unjust;negative;en;;;
683;unlucky;negative;en;;;
684;unpleasant;negative;en;;;
685;unsatisfactory;negative;en;;;
686;unsightly;negative;en;;;
687;untoward;negative;en;;;
688;unwanted;negative;en;;;
689;unwelcome;negative;en;;;
690;unwholesome;negative;en;;;
691;unwieldy;negative;en;;;
692;unwise;negative;en;;;
693;upset;negative;en;;;
694;vice;negative;en;;;
695;vicious;negative;en;;;
696;vile;negative;en;;;
697;villainous;negative;en;;;
698;vindictive;negative;en;;;
699;wary;negative;en;;;
700;weary;negative;en;;;
701;wicked;negative;en;;;
702;woeful;negative;en;;;
703;worthless;negative;en;;;
704;wound;negative;en;;;
705;yell;negative;en;;;
706;yucky;negative;en;;;
707;zero;negative;en;;;
1024;absolutely;positive;en;;;
1025;Abundant;positive;en;;;
1026;accepted;positive;en;;;
1027;acclaimed;positive;en;;;
1028;accomplish;positive;en;;;
1029;Accomplished;positive;en;;;
1030;accomplishment;positive;en;;;
1031;achievement;positive;en;;;
1032;Achieving;positive;en;;;
1033;action;positive;en;;;
1034;active;positive;en;;;
1035;Admirable;positive;en;;;
1036;admire;positive;en;;;
1037;Admired;positive;en;;;
1038;adorable;positive;en;;;
1039;adventure;positive;en;;;
1040;Adventurous;positive;en;;;
1041;affirmative;positive;en;;;
1042;affluent;positive;en;;;
1043;agree;positive;en;;;
1044;agreeable;positive;en;;;
1045;Alert;positive;en;;;
1046;Aligned;positive;en;;;
1047;Alive;positive;en;;;
1048;amazing;positive;en;;;
1049;angelic;positive;en;;;
1050;appealing;positive;en;;;
1051;Appreciate;positive;en;;;
1052;approve;positive;en;;;
1053;aptitude;positive;en;;;
1054;Artistic;positive;en;;;
1055;Astounding;positive;en;;;
1056;Astute;positive;en;;;
1057;Attentive;positive;en;;;
1058;attractive;positive;en;;;
1059;Auspicious;positive;en;;;
1060;Authentic;positive;en;;;
1061;Awake;positive;en;;;
1062;Aware;positive;en;;;
1063;awesome;positive;en;;;
1064;beaming;positive;en;;;
1065;beautiful;positive;en;;;
1066;believe;positive;en;;;
1067;beneficial;positive;en;;;
1068;Best;positive;en;;;
1069;Blessed;positive;en;;;
1070;bliss;positive;en;;;
1071;Bold;positive;en;;;
1072;bountiful;positive;en;;;
1073;bounty;positive;en;;;
1074;brave;positive;en;;;
1075;bravo;positive;en;;;
1076;Bright;positive;en;;;
1077;brilliant;positive;en;;;
1078;Brisk;positive;en;;;
1079;bubbly;positive;en;;;
1080;Buoyant;positive;en;;;
1081;calm;positive;en;;;
